epoch,loss,accuracy,mode
77, 0.98274,0.71921,training
77, 1.81884,0.57491,validation
78, 0.98044,0.71906,training
78, 1.86076,0.58864,validation
79, 0.97460,0.72034,training
79, 1.81523,0.59513,validation
80, 0.96891,0.72134,training
80, 1.85711,0.58180,validation
81, 0.96415,0.72194,training
81, 1.80477,0.57305,validation
82, 0.95915,0.72297,training
82, 1.87441,0.59050,validation
83, 0.95286,0.72405,training
83, 1.82026,0.58214,validation
84, 0.94770,0.72579,training
84, 1.88829,0.58270,validation
85, 0.94710,0.72691,training
85, 1.82453,0.58988,validation
86, 0.94155,0.72821,training
86, 1.89018,0.58897,validation
87, 0.94113,0.72791,training
87, 1.83905,0.58397,validation
88, 0.93495,0.72854,training
88, 1.91407,0.59294,validation
89, 0.93693,0.72913,training
89, 1.82228,0.60483,validation
90, 0.93181,0.72957,training
90, 1.86859,0.59206,validation
91, 0.92788,0.73093,training
91, 1.86675,0.56346,validation
92, 0.92529,0.73069,training
92, 1.89424,0.59165,validation
93, 0.92046,0.73280,training
93, 1.92094,0.57879,validation
94, 0.91595,0.73359,training
94, 1.83535,0.60741,validation
95, 0.91146,0.73370,training
95, 1.91015,0.58046,validation
96, 0.90911,0.73436,training
96, 1.85644,0.60707,validation
97, 0.90418,0.73591,training
97, 1.87519,0.56811,validation
98, 0.90248,0.73675,training
98, 1.87400,0.60331,validation
99, 0.89841,0.73794,training
99, 1.87206,0.58137,validation
